DATE,FIPS,AQI_CONC,AQI_UNITS,SITE_NAME,AQI_PARAMETER,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2018-01-01,36005,0.3,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-02,36005,0.4,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-03,36005,0.7,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-04,36005,0.6,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-05,36005,0.3,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-06,36005,0.3,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-07,36005,0.4,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-08,36005,0.5,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-09,36005,0.6,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-10,36005,0.7,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-11,36005,1.2,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-12,36005,1.0,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-13,36005,0.4,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-14,36005,0.3,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-15,36005,0.3,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-16,36005,0.4,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-17,36005,0.5,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-18,36005,0.4,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-19,36005,0.6,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-20,36005,0.6,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-21,36005,0.6,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-22,36005,0.7,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
2018-01-23,36005,0.4,ppm,PFIZER LAB SITE,Carbon monoxide,Bronx,40.8679,-73.87809
