DATE,FIPS,AQI_CONC,AQI_UNITS,SITE_NAME,AQI_PARAMETER,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2016-01-01,36005,0.024,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-02,36005,0.023,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-03,36005,0.023,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-04,36005,0.025,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-05,36005,0.022,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-06,36005,0.009,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-07,36005,0.004,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-08,36005,0.023,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-09,36005,0.031,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-10,36005,0.031,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-11,36005,0.026,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-12,36005,0.024,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-13,36005,0.027,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-14,36005,0.014,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-15,36005,0.021,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-16,36005,0.023,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-17,36005,0.026,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-18,36005,0.027,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-19,36005,0.028,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-20,36005,0.028,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-21,36005,0.03,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-22,36005,0.03,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-23,36005,0.03,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-24,36005,0.029,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-25,36005,0.013,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-26,36005,0.011,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-27,36005,0.022,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-28,36005,0.014,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-29,36005,0.019,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-30,36005,0.016,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-01-31,36005,0.016,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-02-01,36005,0.025,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-02-02,36005,0.031,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-02-03,36005,0.023,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-02-04,36005,0.027,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-02-05,36005,0.027,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-02-06,36005,0.02,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-02-07,36005,0.032,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-02-08,36005,0.031,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-02-09,36005,0.023,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2016-02-10,36005,0.021,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
