DATE,FIPS,AQI_CONC,AQI_UNITS,SITE_NAME,AQI_PARAMETER,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2018-01-01,36061,24,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-02,36061,24,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-03,36061,22,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-04,36061,22,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-05,36061,22,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-06,36061,22,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-07,36061,22,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-08,36061,22,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-09,36061,6,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-10,36061,6,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-11,36061,6,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-12,36061,6,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-13,36061,6,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-14,36061,6,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-15,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-16,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-17,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-18,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-19,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-20,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-21,36061,14,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-22,36061,14,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-23,36061,14,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-24,36061,14,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-25,36061,14,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-26,36061,14,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-27,36061,20,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-28,36061,20,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-29,36061,20,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-30,36061,20,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-01-31,36061,20,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-01,36061,20,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-02,36061,18,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-03,36061,18,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-04,36061,18,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-05,36061,18,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-06,36061,18,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-07,36061,18,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-08,36061,15,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-09,36061,15,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-10,36061,15,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-11,36061,15,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-12,36061,15,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-13,36061,15,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-14,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-15,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-16,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-17,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-18,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-19,36061,21,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-20,36061,9,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-21,36061,9,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
2018-02-22,36061,9,ug/m3 SC,DIVISION STREET,PM10,New York,40.71436,-73.99518
