DATE,FIPS,AQI_CONC,AQI_UNITS,SITE_NAME,AQI_PARAMETER,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2016-01-01,36005,8.3,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-02,36005,10.5,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-03,36005,12.1,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-04,36005,10.8,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-05,36005,12.9,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-06,36005,15.6,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-07,36005,18.0,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-08,36005,12.0,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-09,36005,11.3,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-10,36005,6.7,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-11,36005,7.7,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-12,36005,10.0,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-13,36005,9.6,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-14,36005,13.2,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-15,36005,19.2,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-16,36005,10.9,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-17,36005,7.9,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-18,36005,8.4,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-19,36005,7.6,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-20,36005,7.7,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-21,36005,8.0,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-22,36005,6.2,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-23,36005,7.3,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-24,36005,11.3,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-25,36005,15.7,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-26,36005,13.9,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-27,36005,10.2,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-28,36005,11.6,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-29,36005,11.2,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-30,36005,9.7,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-01-31,36005,14.6,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-01,36005,12.6,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-02,36005,9.8,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-03,36005,11.9,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-04,36005,5.8,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-05,36005,4.8,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-06,36005,11.8,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-07,36005,10.8,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-08,36005,6.5,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-09,36005,8.3,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-10,36005,9.8,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-11,36005,5.8,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-12,36005,5.9,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-13,36005,7.6,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-14,36005,7.2,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-15,36005,9.9,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-16,36005,10.8,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-17,36005,9.1,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
2016-02-18,36005,5.4,ug/m3 LC,MORRISANIA,PM2.5,Bronx,40.83606,-73.92009
