DATE,FIPS,AQI_CONC,AQI_UNITS,SITE_NAME,AQI_PARAMETER,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2017-01-01,36005,3.5,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-02,36005,1.1,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-03,36005,1.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-04,36005,1.7,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-05,36005,1.3,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-06,36005,2.8,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-07,36005,2.1,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-08,36005,2.0,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-09,36005,2.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-10,36005,3.1,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-11,36005,1.8,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-12,36005,1.0,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-13,36005,1.5,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-14,36005,1.5,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-15,36005,1.9,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-16,36005,5.0,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-17,36005,4.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-18,36005,1.4,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-19,36005,2.8,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-20,36005,0.7,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-21,36005,1.5,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-22,36005,0.5,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-23,36005,0.3,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-24,36005,1.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-25,36005,2.1,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-26,36005,4.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-27,36005,1.0,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-28,36005,1.5,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-29,36005,1.8,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-30,36005,2.5,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-01-31,36005,1.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-01,36005,1.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-02,36005,2.0,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-03,36005,1.3,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-04,36005,1.7,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-05,36005,1.9,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-06,36005,1.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-07,36005,1.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-08,36005,2.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-09,36005,1.1,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-10,36005,1.7,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-11,36005,4.4,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-12,36005,1.3,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-13,36005,2.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-14,36005,1.8,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-15,36005,5.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-16,36005,1.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-17,36005,2.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-18,36005,2.7,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-19,36005,3.4,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-20,36005,2.3,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-21,36005,2.1,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-22,36005,2.3,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-23,36005,2.8,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-24,36005,2.0,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-25,36005,0.5,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-26,36005,0.9,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-27,36005,2.1,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-02-28,36005,2.5,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-01,36005,0.8,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-02,36005,1.0,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-03,36005,1.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-04,36005,1.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-05,36005,2.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-06,36005,3.5,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-07,36005,1.4,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-08,36005,1.0,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-09,36005,1.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-10,36005,0.8,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-11,36005,1.3,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-12,36005,1.4,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-13,36005,2.7,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-14,36005,1.0,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-15,36005,1.1,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-16,36005,1.7,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-17,36005,2.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-18,36005,3.1,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-19,36005,2.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-20,36005,2.1,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-21,36005,3.3,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-22,36005,0.8,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-23,36005,2.4,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-24,36005,1.9,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-25,36005,4.3,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-26,36005,0.2,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-27,36005,0.7,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-28,36005,0.4,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
2017-03-29,36005,1.6,ppb,PFIZER LAB SITE,Sulfur dioxide,Bronx,40.8679,-73.87809
