FIPS,Urban,Total_Population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_Native,P_FB,P_Citizen,P_Noncitizen,P_NoSchool,P_HS_No_Degree,P_HS_or_GED,P_Some_College,P_College_Degree,P_Masters_Prof_Doc,P_Other,P_Limited_Eng,Poverty_Rate,MED_HH_income,UE_Rate,P_UI,P_Insured,P_UI_Under_18,P_UI_18-64,P_UI_65_Over,P_Any_Private_Ins,P_Any_Public_Ins,P_Medicare_Alone,P_Medicaid_Alone,Resp_HI,Low_access,Park_distance,Walkscore,Walkscore_percentile,Tob_retailer_per_1000,felony_per_1000,GINI,SVI_themes_total,SVI_flags,serious_housing_violations_per_1000,total_housing_violations_per_1000,Voter Turnout,Turnout quartile,
36005000100,1,7503,0.12,0.63,0.002,0.02,0.000,0.21,0.01,0.30,0.84,0.16,0.88,0.12,0.01,0.10,0.26,0.13,0.01,0.01,0.47,-,-,-,-,-,-,-,-,-,-,-,-,-,3.174,1,X,0,0,0,89,-,0.1104,3,X,X,0.19,1,
36005000200,1,5251,0.43,0.25,0.000,0.03,0.000,0.24,0.05,0.75,0.68,0.32,0.87,0.13,0.02,0.05,0.31,0.19,0.21,0.06,0.16,0.23,0.16,70893,0.07,0.09,0.92,0.06,0.11,0.02,0.60,0.49,0.04,0.23,2.858,1,0.864919146,-2.9096,1,1,10,0.3903,0.7719,1,0.0234,0.0967,0.19,1,
36005000400,1,5980,0.43,0.34,0.003,0.01,0.000,0.19,0.03,0.65,0.77,0.23,0.91,0.09,0.01,0.01,0.22,0.26,0.28,0.09,0.13,0.07,0.12,76667,0.09,0.06,0.94,0.00,0.09,0.00,0.69,0.33,0.04,0.17,2.95,1,1.083607426,-2.7511,1,1,12,0.3644,0.6937,2,0.1700,0.3370,0.19,1,
36005001600,1,6056,0.43,0.36,0.000,0.00,0.000,0.19,0.02,0.67,0.64,0.36,0.81,0.19,0.04,0.03,0.31,0.20,0.15,0.04,0.22,0.25,0.29,31540,0.08,0.09,0.91,0.02,0.14,0.03,0.53,0.55,0.05,0.27,2.974,0,1.0243655,-2.2716,2,1,11,0.5018,0.9451,2,0.0410,0.1817,0.2,1,
36005001900,1,2682,0.17,0.37,0.000,0.02,0.000,0.40,0.05,0.54,0.79,0.21,0.87,0.13,0.03,0.03,0.22,0.25,0.21,0.07,0.19,0.14,0.35,39130,0.16,0.19,0.81,0.04,0.24,0.07,0.36,0.50,0.02,0.40,3.994,0,X,0.2115,3,1,59,0.426,0.9554,6,0.1084,0.5216,0.19,1,
36005002000,1,9131,0.33,0.45,0.018,0.03,0.000,0.16,0.02,0.61,0.76,0.24,0.90,0.10,0.02,0.03,0.35,0.12,0.14,0.02,0.33,0.20,0.52,17083,0.17,0.13,0.88,0.03,0.19,0.03,0.35,0.68,0.02,0.43,3.158,0,0.396163968,-2.9551,1,1,16,0.5345,0.9515,5,0.1201,0.7502,0.19,1,
36005002300,1,4824,0.18,0.41,0.020,0.00,0.000,0.37,0.03,0.63,0.85,0.15,0.93,0.07,0.05,0.04,0.33,0.14,0.07,0.02,0.36,0.29,0.48,16503,0.17,0.08,0.92,0.03,0.13,0.00,0.27,0.77,0.05,0.49,4.009,0,0.97427383,2.2933,5,0,21,0.4857,0.993,10,0.0000,0.0088,0.18,1,
36005002400,1,123,0.47,0.53,0.000,0.00,0.000,0.00,0.00,0.00,0.47,0.53,0.47,0.53,0.00,0.00,0.00,0.34,0.27,0.40,0.00,0.00,0.00,-,0.00,0.21,0.79,0.00,0.27,-,0.32,0.47,0.00,0.47,2.193,1,X,-2.0775,2,0,24,-,X,X,X,X,0.19,1,
36005002500,1,5651,0.16,0.21,0.000,0.03,0.000,0.57,0.03,0.78,0.67,0.33,0.75,0.25,0.05,0.03,0.26,0.17,0.09,0.03,0.36,0.31,0.49,21060,0.10,0.18,0.82,0.04,0.27,0.07,0.25,0.62,0.02,0.47,3.762,0,0.847746327,1.0111,4,3,20,0.4936,0.9631,9,0.7443,3.7011,0.18,1,
36005002701,1,3034,0.13,0.35,0.000,0.00,0.000,0.51,0.02,0.68,0.76,0.24,0.83,0.17,0.05,0.01,0.30,0.15,0.13,0.04,0.31,0.33,0.60,18409,0.15,0.13,0.87,0.04,0.21,0.07,0.25,0.67,0.01,0.56,3.928,0,0.844366015,0.1673,3,1,18,0.4527,0.9693,10,0.0498,0.3546,0.18,1,
