FIPS,Year,Urban,Total_Population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_Native,P_FB,P_Citizen,P_Noncitizen,P_NoSchool,P_HS_No_Degree,P_HS_or_GED,P_Some_College,P_College_Degree,P_Masters_Prof_Doc,P_Other,P_Limited_Eng,Poverty_Rate,MED_HH_Income,UE_Rate,P_UI,P_Insured,P_UI_Under_18,P_UI_18-64,P_UI_65_Over,P_Any_Private_Ins,P_Any_Public_Ins,P_Medicare_Alone,P_Medicaid_Alone,Resp_HI,Low_Access,Park_Distance,Walkscore,Walkscore_Percentile,Tob_Retailer_Per_1000,Felony_Per_1000,GINI,SVI_Themes_Total,SVI_Flags,Housing_Violations_Per_1000,Voter Turnout,Turnout Quartile
36005000100,2016,1,8430,0.14,0.58,0.0,0.02,0.0,0.24,0.02,0.35,0.83,0.17,0.87,0.13,0.02,0.16,0.22,0.11,0.03,0.01,0.45,,,,,,,,,,,,,,3.174,1,,0,0,0,40,,0.1104,3,,0.19,1
36005000200,2016,1,5095,0.32,0.28,0.0,0.06,0.0,0.3,0.04,0.69,0.69,0.31,0.89,0.11,0.03,0.04,0.33,0.17,0.22,0.02,0.18,0.23,0.19,74837,0.08,0.10,0.90,0.02,0.16,0.02,0.59,0.44,0.04,0.23,2.858,1,0.864919146,-2.9096,1,0,8,0.4024,0.7719,1,135,0.19,1
36005000400,2016,1,5572,0.3,0.36,0.0,0.01,0.0,0.32,0.01,0.63,0.79,0.21,0.93,0.07,0.01,0.01,0.2,0.23,0.32,0.1,0.13,0.10,0.12,77991,0.06,0.07,0.93,0.01,0.10,0.00,0.70,0.31,0.04,0.17,2.95,1,1.083607426,-2.7511,1,1,10,0.3659,0.6937,2,145,0.19,1
36005001600,2016,1,5412,0.34,0.33,0.0,0.0,0.0,0.31,0.02,0.68,0.69,0.31,0.86,0.14,0.05,0.03,0.29,0.18,0.15,0.03,0.25,0.23,0.19,32354,0.09,0.10,0.90,0.00,0.15,0.00,0.51,0.53,0.05,0.28,2.974,0,1.0243655,-2.2716,2,1,9,0.4898,0.9451,2,31,0.2,1
36005001900,2016,1,2569,0.32,0.32,0.0,0.02,0.0,0.33,0.02,0.59,0.7,0.3,0.76,0.24,0.02,0.02,0.28,0.22,0.19,0.04,0.22,0.23,0.45,34635,0.19,0.28,0.72,0.01,0.38,0.18,0.30,0.45,0.03,0.37,3.994,0,,0.2115,3,1,43,0.442,0.9554,6,178,0.19,1
36005002000,2016,1,8959,0.21,0.45,0.02,0.03,0.0,0.27,0.03,0.59,0.75,0.25,0.9,0.1,0.02,0.03,0.33,0.12,0.2,0.04,0.26,0.17,0.42,23423,0.13,0.12,0.88,0.02,0.19,0.00,0.35,0.61,0.02,0.42,3.158,0,0.396163968,-2.9551,1,0,12,0.5266,0.9515,5,32,0.19,1
36005002300,2016,1,4860,0.16,0.49,0.01,0.0,0.0,0.32,0.02,0.61,0.81,0.19,0.92,0.08,0.06,0.04,0.33,0.15,0.07,0.0,0.34,0.33,0.56,14304,0.18,0.11,0.89,0.02,0.19,0.00,0.22,0.76,0.02,0.55,4.009,0,0.97427383,2.2933,5,0,12,0.5008,0.993,10,,0.18,1
36005002400,2016,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,2.193,1,,-2.0775,2,,,,,,,0.19,1
36005002500,2016,1,5143,0.27,0.2,0.0,0.06,0.0,0.45,0.03,0.78,0.68,0.32,0.75,0.25,0.03,0.03,0.27,0.16,0.07,0.01,0.43,0.36,0.58,15683,0.09,0.20,0.80,0.04,0.32,0.06,0.21,0.65,0.03,0.49,3.762,0,0.847746327,1.0111,4,2,12,0.5098,0.9631,9,253,0.18,1
36005002701,2016,1,3172,0.22,0.42,0.0,0.0,0.0,0.34,0.02,0.68,0.7,0.3,0.79,0.21,0.08,0.01,0.28,0.14,0.06,0.03,0.39,0.43,0.56,20159,0.18,0.18,0.82,0.04,0.29,0.00,0.21,0.66,0.01,0.53,3.928,0,0.844366015,0.1673,3,1,9,0.4627,0.9693,10,180,0.18,1
36005002702,2016,1,4683,0.22,0.33,0.0,0.0,0.0,0.41,0.04,0.72,0.68,0.32,0.75,0.25,0.1,0.03,0.2,0.15,0.12,0.0,0.39,0.34,0.54,18416,0.12,0.30,0.70,0.15,0.41,0.00,0.24,0.52,0.03,0.37,3.633,0,0.541033667,0.7429,4,2,10,0.4271,0.9893,10,195,0.18,1
36005002800,2016,1,5746,0.03,0.77,0.0,0.01,0.0,0.13,0.06,0.25,0.86,0.14,0.95,0.05,0.01,0.02,0.33,0.19,0.29,0.04,0.12,0.05,0.09,50388,0.11,0.07,0.93,0.00,0.11,0.02,0.70,0.36,0.05,0.14,3.668,0,0.765252534,-1.1216,2,1,12,0.4021,0.8208,2,78,0.19,1
36005003100,2016,1,1538,0.28,0.34,0.0,0.03,0.0,0.31,0.04,0.68,0.65,0.35,0.72,0.28,0.03,0.05,0.21,0.16,0.27,0.0,0.28,0.30,0.18,39962,0.07,0.26,0.74,0.22,0.31,0.00,0.39,0.38,0.03,0.30,3.471,0,0.660268603,1.5239,4,1,15,0.3846,0.8395,7,232,0.18,1
36005003300,2016,1,3852,0.27,0.4,0.0,0.0,0.0,0.33,0.01,0.7,0.71,0.29,0.83,0.17,0.09,0.07,0.23,0.15,0.16,0.01,0.28,0.29,0.49,19784,0.18,0.10,0.90,0.02,0.15,0.06,0.23,0.75,0.03,0.60,3.49,0,0.292214867,2.2416,5,1,14,0.4356,0.9703,9,242,0.18,1
36005003500,2016,1,3753,0.1,0.31,0.0,0.0,0.0,0.54,0.05,0.73,0.68,0.32,0.82,0.18,0.06,0.02,0.33,0.13,0.09,0.01,0.36,0.24,0.41,22267,0.13,0.21,0.79,0.08,0.29,0.04,0.20,0.64,0.02,0.49,3.502,0,0.274502476,2.6735,5,1,14,0.4524,0.981,6,503,0.18,1
36005003700,2016,1,199,0.25,0.21,0.0,0.0,0.0,0.54,0.0,0.6,0.89,0.11,0.94,0.06,0.02,0.0,0.51,0.17,0.12,0.04,0.14,0.12,0.50,9327,0.14,0.04,0.97,0.00,0.05,0.00,0.41,0.56,0.00,0.51,3.328,0,0.006655112,3.8081,5,0,70,0.4719,0.7498,5,,0.18,1
36005003800,2016,1,1303,0.21,0.47,0.0,0.01,0.0,0.3,0.01,0.5,0.76,0.24,0.9,0.1,0.06,0.02,0.24,0.26,0.17,0.06,0.17,0.05,0.28,46534,0.11,0.10,0.90,0.00,0.16,0.00,0.57,0.39,0.03,0.29,3.11,0,0.822688396,-2.3769,1,0,6,0.5259,0.861,2,77,0.2,1
36005003900,2016,1,6580,0.26,0.22,0.01,0.01,0.0,0.5,0.0,0.78,0.63,0.37,0.73,0.27,0.02,0.03,0.3,0.11,0.17,0.03,0.33,0.43,0.30,27608,0.12,0.28,0.72,0.04,0.45,0.00,0.34,0.48,0.03,0.29,3.698,0,0.753636825,2.8334,5,1,32,0.5073,0.9757,7,398,0.18,1
36005004001,2016,1,1550,0.24,0.21,0.0,0.24,0.0,0.16,0.14,0.29,0.48,0.52,0.81,0.19,0.05,0.01,0.27,0.18,0.18,0.04,0.26,0.15,0.24,47841,0.12,0.18,0.82,0.01,0.29,0.00,0.44,0.47,0.05,0.28,3.107,0,1.619813201,-0.2601,3,1,20,0.4073,0.7941,1,75,0.2,1
36005004100,2016,1,6483,0.27,0.32,0.01,0.0,0.0,0.36,0.04,0.77,0.83,0.17,0.92,0.08,0.05,0.02,0.26,0.15,0.12,0.02,0.37,0.31,0.51,18516,0.18,0.13,0.87,0.04,0.19,0.00,0.33,0.67,0.02,0.46,3.711,0,0.59283361,3.6158,5,0,16,0.55,0.9907,10,151,0.18,1
36005004200,2016,1,7599,0.21,0.56,0.01,0.01,0.0,0.19,0.02,0.48,0.86,0.14,0.95,0.05,0.04,0.05,0.3,0.18,0.19,0.01,0.22,0.12,0.45,22135,0.25,0.11,0.89,0.07,0.15,0.00,0.37,0.64,0.03,0.40,3.445,0,,-1.7594,2,0,16,0.4132,0.9243,7,37,0.2,1
36005004300,2016,1,5841,0.14,0.3,0.02,0.0,0.0,0.51,0.04,0.77,0.76,0.24,0.84,0.16,0.02,0.02,0.28,0.16,0.15,0.02,0.34,0.25,0.44,21827,0.11,0.15,0.85,0.01,0.24,0.00,0.32,0.58,0.02,0.45,3.634,0,0.332241184,3.8399,5,2,17,0.4902,0.9697,8,305,0.18,1
